System Name,System Type,CPU Count,CPU Ppin,CPU Serial Number,Memory Count,Memory Size,Memory Speed,BIOS,Board Product,HW Config,Board Serial,PBA,SuperGroup,Group,Team,Division,Subdivision,Discipline,Val Team,Function,Pool,Product,Project,Processor,Domain,Activity,Owner,Site,Active State,System State,NGA Project,NGA Activity,NGA Config,Last Scan,BAT Result,HMA Version,Location,HMA Status
1a08u16,KYT-GA3-SPR,2,"E11EED630FDC9B6E, E11F39887354304A",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C303378,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1a08u16cn3,...-...-SPR,2,"E11EED630FDC9B6E, E11F39887354304A","73571BJ600732, 73571BJ600376",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303378,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:39:43,Pass,,,Not Running
1a08u29,KYT-GA3-SPR,2,"E11F8ED2337DC90A, E11EECFD019B5B2E",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C303414,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1a08u29cn3,...-...-SPR,2,"E11F8ED2337DC90A, E11EECFD019B5B2E","73571BJ600718, 73571BJ600690",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303414,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:39:44,Pass,,,Not Running
1b01u16cn3,...-...-SPR,2,"C13944CE31F1355F, C13A69DBA99C5A77","M3KR392600710, M3QY275300093",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303389,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:45:05,Pass,,,Not Running
1b01u29cn3,...-...-SPR,2,"E120095343DC7617, E1205EBA6CB35787","73571BJ600295, 73571BJ600085",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303377,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:45:05,Pass,,,Not Running
1b02u16cn3,...-...-SPR,2,"E11F9F9CE5B9EE50, E11F3963D7DDB170","73571BJ600075, 73571BJ600788",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303419,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:50:32,Pass,,,Not Running
1b02u29cn3,...-...-SPR,2,"E11EFFA7EA1EF03D, E11FD46ED70FAC36","73571BJ600332, 73571BJ600772",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303374,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:50:31,Pass,,,Not Running
1b03u16cn3,...-...-SPR,2,"E11FD42AB77AAA9E, E11FF7DC0EEC9072","73571BJ600465, 73571BJ600017",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303427,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:57:12,Pass,,,Not Running
1b03u29cn3,...-...-SPR,2,"E11EF671ED456064, E11EFF844BC983EB","73571BJ600698, 73571BJ600084",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303367,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:57:12,Pass,,,Not Running
1b04u16cn3,...-...-SPR,2,"E11F7BB5377E0971, E11FD3EFD08FA517","73571BJ600284, 73571BJ600573",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303366,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:02:19,Pass,,,Not Running
1b04u29cn3,...-...-SPR,2,"E11EF6A7654057DF, E11EDF711CBD930F","73571BJ600377, 73571BJ600208",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203293,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:02:19,Pass,,,Not Running
1b05u16cn3,...-...-SPR,2,"E1206BFFA0DE5F28, E1203D9220A21CA3","73571BJ600435, 73571BJ600271",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303400,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:07:55,Pass,,,Not Running
1b05u29cn3,...-...-SPR,2,"C136EC77492C602E, C13BA7C681BD2C73","M3KR392600715, M3KR392600703",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303391,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:07:55,Pass,,,Not Running
1b06u16,KYT-GA3-SPR,2,"E11F2FAD599F5B74, E11EECCD05CD0F71",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C303428,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1b06u16cn3,...-...-SPR,2,"E11F2FAD599F5B74, E11EECCD05CD0F71","73571BJ600669, 73571BJ600441",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303428,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:13:05,Pass,,,Not Running
1b06u29,KYT-GA3-SPR,2,"E11FB42261231E36, E11FF7DE5EA8641E",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C203305,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1b06u29cn3,...-...-SPR,2,"E11FB42261231E36, E11FF7DE5EA8641E","73571BJ600572, 73571BJ600550",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203305,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:13:05,Pass,,,Not Running
1b07u16,KYT-GA3-SPR,2,"E11F5AAE708768B7, E11F674F21347042",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C303409,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1b07u16cn3,...-...-SPR,2,"E11F5AAE708768B7, E11F674F21347042","73571BJ600280, 73571BJ600326",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303409,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:17:16,Pass,,,Not Running
1b07u29,KYT-GA3-SPR,2,"E11ECFA5BEBDEABC, E11EECAFD38F72AB",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C303407,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1b07u29cn3,...-...-SPR,2,"E11ECFA5BEBDEABC, E11EECAFD38F72AB","73571BJ600691, 73571BJ600482",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303407,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:17:16,Pass,,,Not Running
1b08u16,KYT-GA3-SPR,2,"E11FC7274B44A85B, E11FC6F664064E73",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C303403,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1b08u16cn3,...-...-SPR,2,"E11FC7274B44A85B, E11FC6F664064E73","73571BJ600412, 73571BJ600260",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303403,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:21:58,Pass,,,Not Running
1b08u29,...-...-...,0,,,0,0.0,0,,,,,,,,,,,,,,,,,Unknown,,,,RA,,offline,,,,,Unknown,,,Not Running
1b08u29cn3,...-...-SPR,2,"E11F25F1AB5C8808, E1204FD28F6C4B67","73571BJ600622, 73571BJ600709",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303376,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:21:58,Pass,,,Not Running
1c01u29cn3,...-...-SPR,2,"E11F4D75E1012423, E11EBB59AEA02251","73571BJ600043, 73571BJ600304",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303369,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:33:01,Pass,,,Not Running
1c02u17cn3,...-...-SPR,2,"0000000000000000, 0000000000000000","3E343070K01246, 3E343070K01246",32,2048.0,5600,,PowerEdge XE9680-Gaudi3,,G7NZK54,0N75YPX10,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:37:55,Pass,,,Not Running
1c03u29cn3,...-...-SPR,2,"E11F2592FA4C34C6, E11F4D55DBFB9769","73571BJ600053, 73571BJ600173",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203301,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:49:17,Pass,,,Not Running
1c04u29cn3,...-...-SPR,2,"E11F106005684165, E11FD3F9533CD763","73571BJ600747, 73571BJ600255",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203307,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:53:01,Pass,,,Not Running
1c05u29cn3,...-...-SPR,2,"E1202EFCE1A96ADE, E1201C08E9AD6CA2","73571BJ600179, 73571BJ600433",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303398,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T02:57:10,Pass,,,Not Running
1c06u29cn3,...-...-SPR,2,"E11FD45BC54DD70B, E120096C1D204A35","73571BJ600165, 73571BJ600148",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303423,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:01:51,Pass,,,Not Running
1c07u17cn3,...-...-SPR,2,"0000000000000000, 0000000000000000","3E343070K01246, 3E343070K01246",32,2048.0,5600,,PowerEdge XE9680-Gaudi3,,B8NZK54,0N75YPX10,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:06:05,Pass,,,Not Running
1c07u29cn3,...-...-SPR,2,"C13A694FA2A1577F, C1386CC6177C1B93","M3KR392600349, M3KR392600633",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303381,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:06:05,Pass,,,Not Running
1c08u17cn3,...-...-SPR,2,"0000000000000000, 0000000000000000","3E343070K01246, 3E343070K01246",32,2048.0,5600,,PowerEdge XE9680-Gaudi3,,15NZK54,0N75YPX10,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:11:20,Pass,,,Not Running
1c08u29cn3,...-...-SPR,2,"C13B8B2729136747, C13B45A9B48717F8","M3KR392600244, M3KR392600005",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303385,YZMB-02866-105,DCAI,PSE,,,,,Labs,Labs,,,,Sapphire Rapid,RASP,Execution,,RA,Validation,offline,,,,2025-09-19T03:11:21,Pass,,,Not Running
1d01u17cn3,...-...-SPR,2,"0000000000000000, 0000000000000000","3E343070K01246, 3E343070K01246",32,2048.0,5600,,PowerEdge XE9680-Gaudi3,,H5NZK54,0N75YPX10,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:15:47,Pass,,,Not Running
1d02u17cn3,...-...-SPR,2,"0000000000000000, 0000000000000000","3E343070K01246, 3E343070K01246",32,2048.0,5600,,PowerEdge XE9680-Gaudi3,,G6NZK54,0N75YPX10,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:19:12,Pass,,,Not Running
1d02u29cn3,...-...-SPR,2,"E11F7BA13C02BECF, E11ECFCF66816559","73571BJ600134, 73571BJ600135",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303368,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:19:12,Pass,,,Not Running
1d05u17cn3,...-...-SPR,2,"0000000000000000, 0000000000000000","3E343070K01246, 3E343070K01246",32,2048.0,5600,,PowerEdge XE9680-Gaudi3,,J5NZK54,0N75YPX10,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T03:32:52,Pass,,,Not Running
1d06u03cn3,...-...-GNR,2,"678F07BF6C7AF265, 6777BA64AFDB2FDC","447W7F3100230, 447W7F3100022",16,1024.0,5600,,PowerEdge XE7740,,Not Specified,0PDCK6X20,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:37:57,Pass,,,Not Running
1d06u09cn3,...-...-GNR,2,"678EEBBEEB366771, 678EEB48C1178412","447W7F3100250, 447W7F3100922",16,1024.0,5600,,PowerEdge XE7740,,Not Specified,0G07JKA02,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:37:57,Pass,,,Not Running
1d06u15cn3,...-...-GNR,2,"6777BABF852FFA4A, 678F29C01C4FF1DE","447W7F3100108, 447W7F3100985",16,1024.0,5600,,PowerEdge XE7740,,7740001,0G07JKA00,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:37:56,Pass,,,Not Running
1d07u03cn3,...-...-GNR,2,"6777B9BD07D50D56, 678F06BF462BBC50","447W7F3100857, 447W7F3100195",16,1024.0,5600,,PowerEdge XE7740,,1234567,0PDCK6X20,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:47:38,Pass,,,Not Running
1d08u03cn3,...-...-GNR,2,"6777B8BE34223453, 678F2A1E93D80643","447W7F3100865, 447W7F3100143",16,1024.0,5600,,PowerEdge XE7740,,1234567,0PDCK6X20,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:51:44,Pass,,,Not Running
1d08u09cn3,...-...-GNR,2,"67779DBD526FCCE1, 678F2ABE2181DB87","447W7F3100731, 447W7F3100837",16,1024.0,5600,,PowerEdge XE7740,,Not Specified,0G07JKA02,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:51:45,Pass,,,Not Running
1d08u15cn3,...-...-GNR,2,"678F06C15B0C36E0, 6777B8C0C150E6D7","447W7F3100149, 447W7F3100908",16,1024.0,5600,,PowerEdge XE7740,,Not Specified,0G07JKA02,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:51:44,Pass,,,Not Running
1d09u03cn3,...-...-GNR,2,"678F29BD36C0EF59, 678F29C16F6F45C2","447W7F3100724, 447W7F3100070",16,1024.0,5600,,PowerEdge XE7740,,Not Specified,0PDCK6X20,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:57:20,Pass,,,Not Running
1d09u09cn3,...-...-GNR,2,"678F07C15F3587E3, 678F07282BF7C305","447W7F3100029, 447W7F3100947",16,1024.0,5600,,PowerEdge XE7740,,Not Specified,0PDCK6X20,,PSE,,,,,,,,,GNR,Granite Rapid,,,,RA,,offline,,,,2025-09-19T03:57:20,Pass,,,Not Running
1f08u05cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:40,Unknown,,,Not Running
1f08u14cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:42,Unknown,,,Not Running
1f08u23cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:43,Unknown,,,Not Running
1f09u05cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:45,Unknown,,,Not Running
1f09u23cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:46,Unknown,,,Not Running
1f10u05cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:47,Unknown,,,Not Running
1f10u14cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:49,Unknown,,,Not Running
1f10u23cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:50,Unknown,,,Not Running
1f11u05cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:52,Unknown,,,Not Running
1f11u14cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:53,Unknown,,,Not Running
1f11u23cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:55,Unknown,,,Not Running
1f12u05cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:56,Unknown,,,Not Running
1f12u23cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:57,Unknown,,,Not Running
1f13u05cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:49:59,Unknown,,,Not Running
1f13u14cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:50:00,Unknown,,,Not Running
1f13u23cn2,WLY-CPC-ICX,1,,,16,1024.0,3200,1.8,,,,,DCAI,PSE,,,,,Labs,Labs,,,,Ice Lake,,Execution,,RA,Validation,offline,,,,2024-12-12T05:50:01,Unknown,,,Not Running
BKC80CentOS,EGS-ARC-SPR,2,"285285CDF5F6FA3B, 285293CCB22A3139","M2QU347200213, M2QU347200506",16,1024.0,4800,EGSDCRB1.SYS.0107.D52.2311070224,ArcherCity,,,,DCAI,PSE,,,,,Labs,Labs,,,,Sapphire Rapid,RASP,,,unknown,,offline,,,,2024-01-25T11:01:26,Fail,,,Not Running
ac-crval-004,EGS-ARC-SPR,2,"286592CADA210650, 2865924B9AE7FB5F","72FH134300126, 72FH134300227",8,256.0,4800,EGSDCRB1.SYS.1752.P05.2401050248,ArcherCity,,,,DCAI,PSE,SSL.LAB,SSL,LAB,VST,Labs,Labs,,SPR-SP,SPR,Sapphire Rapid,,Execution.Released,,GDC,Validation,online,,,,2025-05-20T20:27:07,Pass,,,Not Running
an004011bmh0233,OKS-JC-...,0,,,0,0.0,0,,OKS HPM JC2,FDU7,VAO252900039,N43467-300,DCAI,PSE,SNV.ALL,SNV,ALL,VST,FV.Shared.ALL,FV,Shared,DMR-AP,DMR,Unknown,ALL,PowerOn,"Zuno Mayoral, Christian Raul",AN,Development-L9.9 Full Config + Waivers,online,,,,2025-08-14T14:58:31,Pass,3.3.1.10,AN4-1B AVC/SV LAB/R023-B1,Not Running
an004011bmh0243,...-...-...,0,,,0,0.0,0,,OKS HPM JC2,FDU7,VAO252900154,N43467-300,DCAI,PSE,SNV.ALL,SNV,ALL,VST,FV.Shared.ALL,FV,Shared,DMR-AP,DMR,Unknown,ALL,PowerOn,"Zuno Mayoral, Christian Raul",AN,Development-L9.9 Full Config + Waivers,online,,,,2025-08-08T16:42:57,Fail,3.3.1.10,AN4-1B AVC/SV LAB/R024-B1,Running
an004011bmh0293,OKS-JC-...,0,,,0,0.0,0,,OKS HPM JC1 500,,VAO253300081,N68328-300,DCAI,PSE,SNV.ALL,SNV,ALL,VST,FV.Shared.ALL,FV,Shared,DMR-AP,DMR,Unknown,ALL,PowerOn,"Parris, Brian",AN,Deployment-L7 Mechanical (POK Built),online,,,,2025-09-25T17:20:49,Pass,,,Not Running
